x[km] y[km] z[km] ex ey ez dlos[cm] sigma[cm] type
-8.187294 5.492657 0.103264 -0.633 -0.202 -0.747 -0.5 1.1 sar
-7.450173 5.769574 0.132911 -0.633 -0.202 -0.748 -0.2 1.1 sar
-6.958894 5.769014 0.079446 -0.633 -0.202 -0.748 -0.4 1.1 sar
-7.450709 5.214079 0.079352 -0.633 -0.202 -0.748 1.3 1.1 sar
-6.95945 5.213565 0.076887 -0.633 -0.202 -0.748 -0.4 1.1 sar
-8.18864 4.381776 0.12705 -0.634 -0.202 -0.747 0.6 1.1 sar
-7.205948 4.380649 0.079196 -0.633 -0.202 -0.748 1.4 1.1 sar
-5.649717 4.934694 0.138334 -0.632 -0.202 -0.749 -1.1 1.1 sar
-2.61972 6.043745 0.09532 -0.63 -0.201 -0.75 -1.9 1.1 sar
-6.717337 1.602936 0.086831 -0.633 -0.201 -0.747 1.9 1.1 sar
-2.621444 1.600199 0.196675 -0.631 -0.201 -0.749 -2.5 1.1 sar
-14.918726 -2.827783 0.056693 -0.639 -0.203 -0.742 2.2 1.1 sar
-11.801934 -1.722915 0.059475 -0.637 -0.203 -0.744 0.5 1.1 sar
-9.75299 -1.726104 0.062817 -0.636 -0.202 -0.745 2.2 1.1 sar
-11.805709 -3.944661 0.053353 -0.637 -0.203 -0.744 -0.1 1.1 sar
-9.756112 -3.947851 0.057687 -0.636 -0.203 -0.744 2.6 1.1 sar
-14.928282 -7.27126 0.049928 -0.64 -0.203 -0.741 2.0 1.1 sar
-11.809493 -6.1664 0.051458 -0.638 -0.202 -0.743 -0.2 1.1 sar
-9.759238 -6.169592 0.055785 -0.637 -0.202 -0.744 -1.3 1.1 sar
-11.813273 -8.388129 0.047791 -0.638 -0.203 -0.743 1.8 1.1 sar
-9.762374 -8.391332 0.060109 -0.637 -0.202 -0.744 0.1 1.1 sar
-6.721656 -2.8406 0.093103 -0.634 -0.201 -0.747 1.3 1.1 sar
-4.097653 -1.176345 0.200851 -0.632 -0.201 -0.748 -1.9 1.1 sar
-3.114216 -1.176857 0.200369 -0.632 -0.201 -0.749 -2.4 1.1 sar
-4.098269 -2.287222 0.135472 -0.632 -0.201 -0.748 -1.2 1.1 sar
-3.11473 -2.287768 0.228989 -0.632 -0.201 -0.749 -2.9 1.1 sar
-1.557239 -1.732839 0.224713 -0.631 -0.201 -0.749 -3.7 1.1 sar
-3.607346 -3.953829 0.137816 -0.632 -0.201 -0.748 -1.6 1.1 sar
-1.557725 -3.954611 0.168561 -0.631 -0.2 -0.749 -3.4 1.1 sar
-7.708992 -6.172186 0.068464 -0.636 -0.202 -0.745 1.7 1.1 sar
-5.658761 -6.174198 0.106499 -0.634 -0.201 -0.747 0.0 1.1 sar
-7.711447 -8.393907 0.054779 -0.636 -0.201 -0.745 -1.0 1.1 sar
-5.660548 -8.395909 0.074805 -0.635 -0.202 -0.746 -2.3 1.1 sar
-3.608517 -6.175623 0.16289 -0.633 -0.201 -0.748 -1.5 1.1 sar
-1.558235 -6.176432 0.209631 -0.632 -0.2 -0.749 -3.6 1.1 sar
-3.609652 -8.397344 0.124187 -0.633 -0.201 -0.747 -1.7 1.1 sar
-1.558722 -8.398156 0.160921 -0.632 -0.2 -0.749 -3.4 1.1 sar
0.49112 7.154185 0.113693 -0.627 -0.2 -0.753 -3.1 1.1 sar
2.537467 7.154673 0.149171 -0.626 -0.2 -0.754 -4.7 1.1 sar
0.491287 4.932476 0.232636 -0.628 -0.201 -0.752 -3.1 1.1 sar
2.538313 4.93292 0.226106 -0.627 -0.2 -0.753 -5.3 1.1 sar
5.567138 6.045744 0.362264 -0.624 -0.199 -0.755 -6.5 1.1 sar
-0.0 3.266099 0.263616 -0.629 -0.2 -0.751 -3.2 1.1 sar
0.737073 3.543824 0.184427 -0.628 -0.2 -0.752 -4.6 1.1 sar
1.228467 3.54393 0.24834 -0.628 -0.2 -0.752 -5.8 1.1 sar
0.737141 2.988408 0.264671 -0.628 -0.2 -0.752 -4.1 1.1 sar
1.228564 2.988466 0.239583 -0.628 -0.2 -0.752 -5.1 1.1 sar
-0.0 2.155175 0.254007 -0.629 -0.2 -0.751 -3.4 1.1 sar
0.982972 2.155247 0.258905 -0.628 -0.2 -0.752 -4.7 1.1 sar
2.539142 2.711103 0.261267 -0.627 -0.2 -0.753 -6.1 1.1 sar
0.491605 0.488821 0.269195 -0.629 -0.2 -0.751 -5.2 1.1 sar
2.539955 0.489268 0.255649 -0.628 -0.199 -0.752 -6.9 1.1 sar
5.570612 1.601957 0.244563 -0.626 -0.199 -0.754 -6.9 1.1 sar
11.71083 3.831437 0.198456 -0.621 -0.197 -0.759 -7.3 1.1 sar
0.491758 -1.732991 0.202809 -0.63 -0.2 -0.751 -5.8 1.1 sar
2.540736 -1.732533 0.168254 -0.628 -0.199 -0.752 -7.4 1.1 sar
0.49192 -3.954824 0.257652 -0.63 -0.2 -0.75 -5.7 1.1 sar
2.541548 -3.954315 0.160088 -0.629 -0.2 -0.751 -7.7 1.1 sar
5.574138 -2.84166 0.186758 -0.626 -0.199 -0.754 -8.5 1.1 sar
0.492078 -6.176642 0.263718 -0.631 -0.199 -0.75 -5.5 1.1 sar
2.54239 -6.17616 0.229151 -0.629 -0.2 -0.751 -7.5 1.1 sar
0.492231 -8.39837 0.204004 -0.631 -0.2 -0.749 -5.4 1.1 sar
2.543172 -8.397844 0.145436 -0.63 -0.199 -0.751 -7.2 1.1 sar
5.577663 -7.285166 0.12786 -0.628 -0.199 -0.753 -8.9 1.1 sar
11.725926 -5.05581 0.227817 -0.623 -0.197 -0.757 -9.5 1.1 sar
-11.817049 -10.609846 0.04235 -0.639 -0.203 -0.742 2.1 1.1 sar
-9.765481 -10.613039 0.04566 -0.638 -0.202 -0.743 -0.1 1.1 sar
-7.713913 -10.615627 0.049322 -0.637 -0.201 -0.744 0.1 1.1 sar
-5.662343 -10.617609 0.053337 -0.635 -0.201 -0.746 -2.5 1.1 sar
-7.716378 -12.837338 0.044091 -0.637 -0.202 -0.744 -0.3 1.1 sar
-6.484266 -12.005459 0.048051 -0.636 -0.201 -0.745 -2.3 1.1 sar
-5.909712 -12.005974 0.049571 -0.636 -0.201 -0.745 -4.5 1.1 sar
-6.484784 -12.560887 0.046944 -0.636 -0.201 -0.745 0.2 1.1 sar
-5.910183 -12.5614 0.047463 -0.636 -0.201 -0.745 0.1 1.1 sar
-5.171205 -12.284278 0.049617 -0.635 -0.201 -0.746 -1.9 1.1 sar
-6.15718 -13.394329 0.046495 -0.636 -0.201 -0.745 -1.2 1.1 sar
-5.172028 -13.395125 0.043304 -0.635 -0.201 -0.746 -0.2 1.1 sar
-2.626438 -11.730297 0.061109 -0.634 -0.2 -0.747 -1.9 1.1 sar
-2.628121 -16.173739 0.061064 -0.635 -0.2 -0.747 -0.3 1.1 sar
0.492387 -10.620105 0.176514 -0.632 -0.2 -0.749 -4.9 1.1 sar
